InventoryID,SnapshotDate,StoreID,ProductID,OpeningStock,ReceivedQuantity,SoldQuantity,ReturnQuantity,ClosingStock,DamagedQuantity,InventoryValue
INV00024601,2025-08-03,STR001,PRD00581,205,0,40,0,165,0,32787.15
INV00024602,2025-08-03,STR001,PRD00549,169,0,58,0,111,0,42446.4
INV00024603,2025-08-03,STR001,PRD00877,103,0,24,1,80,0,96952.8
INV00024604,2025-08-03,STR001,PRD00070,18,44,8,0,54,0,596052.54
INV00024605,2025-08-03,STR001,PRD00620,131,0,27,0,104,0,33869.68
INV00024606,2025-08-03,STR001,PRD00424,357,0,47,1,311,0,117321.64
INV00024607,2025-08-03,STR001,PRD00319,69,340,32,3,380,0,176247.8
INV00024608,2025-08-03,STR001,PRD00826,182,0,86,0,96,0,11539.2
INV00024609,2025-08-03,STR001,PRD01123,80,0,34,0,46,0,87503.96
INV00024610,2025-08-03,STR001,PRD00539,164,266,71,0,359,0,17135.07
INV00024611,2025-08-03,STR001,PRD00515,44,318,24,0,338,0,159944.98
INV00024612,2025-08-03,STR001,PRD00964,71,0,8,1,64,0,36812.16
INV00024613,2025-08-03,STR001,PRD00799,97,0,8,0,89,0,218813.62
INV00024614,2025-08-03,STR001,PRD00583,121,180,54,0,247,0,108084.73
INV00024615,2025-08-03,STR001,PRD00646,228,186,44,0,370,0,24342.3
INV00024616,2025-08-03,STR001,PRD00792,116,129,46,0,199,0,582142.66
INV00024617,2025-08-03,STR001,PRD00485,81,0,8,0,73,0,43299.95
INV00024618,2025-08-03,STR001,PRD00334,433,0,92,0,341,0,136659.16
INV00024619,2025-08-03,STR001,PRD00395,48,271,28,0,291,0,108624.48
INV00024620,2025-08-03,STR001,PRD00043,19,0,8,0,11,0,168332.67
INV00024621,2025-08-03,STR002,PRD00098,104,37,21,0,120,0,1224721.2
INV00024622,2025-08-03,STR002,PRD00231,22,0,10,1,13,0,87166.17
INV00024623,2025-08-03,STR002,PRD00903,181,172,70,1,284,0,78216.44
INV00024624,2025-08-03,STR002,PRD00191,22,68,7,0,83,0,431454.75
INV00024625,2025-08-03,STR002,PRD00178,51,0,28,0,23,0,159843.79
INV00024626,2025-08-03,STR002,PRD00122,33,0,17,0,16,0,261865.12
INV00024627,2025-08-03,STR002,PRD00202,86,137,29,0,194,0,167905.06
INV00024628,2025-08-03,STR002,PRD00827,85,0,45,0,39,1,85667.01
INV00024629,2025-08-03,STR002,PRD00796,48,216,15,0,249,0,82145.1
INV00024630,2025-08-03,STR002,PRD00021,101,0,22,0,79,0,105370.2
INV00024631,2025-08-03,STR002,PRD00374,148,0,37,1,112,0,82692.96
INV00024632,2025-08-03,STR002,PRD00064,93,0,47,0,46,0,84212.2
INV00024633,2025-08-03,STR002,PRD01079,151,0,65,2,88,0,16855.52
INV00024634,2025-08-03,STR002,PRD00685,150,167,47,2,272,0,775646.08
INV00024635,2025-08-03,STR002,PRD00584,295,0,96,0,199,0,28327.65
INV00024636,2025-08-03,STR002,PRD00563,85,220,34,0,271,0,117494.76
INV00024637,2025-08-03,STR002,PRD00332,442,0,14,0,428,0,116814.04
INV00024638,2025-08-03,STR002,PRD00689,205,0,78,0,127,0,42269.41
INV00024639,2025-08-03,STR002,PRD00291,182,0,43,0,139,0,38886.64
INV00024640,2025-08-03,STR002,PRD01149,16,170,5,0,181,0,422593.37
INV00024641,2025-08-03,STR003,PRD00846,89,140,36,0,192,1,211628.16
INV00024642,2025-08-03,STR003,PRD01190,38,0,13,1,26,0,98028.06
INV00024643,2025-08-03,STR003,PRD00181,23,30,11,0,42,0,136053.12
INV00024644,2025-08-03,STR003,PRD00691,69,133,22,0,180,0,206987.4
INV00024645,2025-08-03,STR003,PRD00612,292,0,49,0,243,0,51620.49
INV00024646,2025-08-03,STR003,PRD00141,111,0,21,0,90,0,174986.1
