ProductID,ProductName,CategoryID,CategoryName,SupplierID,Brand,UnitCost,UnitPrice,ReorderLevel,ReorderQuantity,LaunchDate,IsActive
PRD00001,Mi Compact Bluetooth Speaker Eco 546,CAT001,Electronics,SUP016,Mi,15337.08,21322.84,20,40,2021-05-15,1
PRD00002,Mi Compact Bluetooth Speaker Classic 444,CAT001,Electronics,SUP017,Mi,870.9,1289.58,36,137,2022-06-26,1
PRD00003,Logitech Ergonomic Wireless Mouse Prime 669,CAT001,Electronics,SUP049,Logitech,534.24,810.89,30,105,2024-08-18,1
PRD00004,Mi Portable Power Bank 20000mAh Eco 558,CAT001,Electronics,SUP038,Mi,14741.73,18331.36,17,50,2022-05-22,1
PRD00005,Mi Ergonomic Wireless Mouse Select 535,CAT001,Electronics,SUP017,Mi,18438.86,25382.71,21,69,2024-05-10,1
PRD00006,Samsung Portable Power Bank 20000mAh Elite 423,CAT001,Electronics,SUP018,Samsung,2519.92,3457.14,36,99,2022-12-16,1
PRD00007,JBL Tablet Stylus Pen Prime 202,CAT001,Electronics,SUP035,JBL,15462.2,20090.22,21,36,2023-01-23,1
PRD00008,Logitech Bluetooth Soundbar Pro 155,CAT001,Electronics,SUP001,Logitech,10393.47,14817.35,14,65,2024-02-28,1
PRD00009,Logitech True Wireless Earbuds Eco 590,CAT001,Electronics,SUP005,Logitech,8344.51,10580.64,11,41,2024-02-27,1
PRD00010,Mi Smartwatch Fitness Tracker Max 690,CAT001,Electronics,SUP008,Mi,11774.44,14520.45,14,61,2023-02-08,1
PRD00011,OnePlus 4K Action Camera Elite 894,CAT001,Electronics,SUP040,OnePlus,9834.69,13229.12,24,44,2024-05-19,1
PRD00012,JBL UltraHD Smart LED TV Max 881,CAT001,Electronics,SUP005,JBL,4121.35,5255.98,12,35,2022-03-18,1
PRD00013,Sony Bluetooth Soundbar Classic 561,CAT001,Electronics,SUP045,Sony,12862.09,17378.5,11,39,2023-12-10,1
PRD00014,Mi Noise Isolating Gaming Headset Max 803,CAT001,Electronics,SUP035,Mi,4586.64,5918.05,30,62,2022-07-04,1
PRD00015,boAt Portable Power Bank 20000mAh Prime 946,CAT001,Electronics,SUP030,boAt,2931.59,3619.87,44,151,2023-08-04,1
PRD00016,Logitech Tablet Stylus Pen Classic 378,CAT001,Electronics,SUP021,Logitech,9433.57,12816.4,12,63,2021-07-24,1
PRD00017,Logitech True Wireless Earbuds Pro 193,CAT001,Electronics,SUP018,Logitech,4504.98,6386.7,28,62,2021-11-27,1
PRD00018,Sony True Wireless Earbuds Plus 581,CAT001,Electronics,SUP032,Sony,9769.19,13116.16,18,36,2024-11-27,1
PRD00019,Mi Wireless Noise-Canceling Headphones Select 518,CAT001,Electronics,SUP019,Mi,6399.55,9063.53,15,46,2024-12-16,1
PRD00020,OnePlus Wi-Fi 6 Dual-Band Router Pro 565,CAT001,Electronics,SUP001,OnePlus,1948.29,2507.15,32,173,2024-09-27,1
PRD00021,Boult Wi-Fi 6 Dual-Band Router Eco 523,CAT001,Electronics,SUP018,Boult,1333.8,1822.47,56,155,2024-01-07,1
PRD00022,boAt 4K Action Camera Prime 548,CAT001,Electronics,SUP020,boAt,16337.37,22149.39,10,65,2022-12-06,1
PRD00023,Sony 4K Action Camera Classic 195,CAT001,Electronics,SUP010,Sony,4428.32,6541.47,13,54,2021-11-27,1
PRD00024,Logitech Fast USB-C Charging Hub Prime 525,CAT001,Electronics,SUP059,Logitech,15500.24,23723.95,17,54,2022-07-07,1
