PurchaseOrderID,OrderDate,SupplierID,StoreID,ProductID,OrderedQuantity,ReceivedQuantity,UnitCost,ExpectedDeliveryDate,ActualDeliveryDate,Status
PO2025000001,2025-02-23,SUP040,STR001,PRD00739,159,159,1541.42,2025-03-08,2025-03-20,Delayed
PO2025000002,2025-10-29,SUP014,STR021,PRD00696,137,137,1080.02,2025-11-08,2025-11-12,Delayed
PO2025000003,2025-06-14,SUP012,STR039,PRD00952,146,146,502.71,2025-06-25,2025-06-23,Completed
PO2025000004,2025-10-15,SUP030,STR010,PRD00896,291,291,145.03,2025-10-24,2025-10-23,Completed
PO2025000005,2025-08-04,SUP034,STR040,PRD00585,374,374,289.65,2025-08-17,2025-08-24,Delayed
PO2025000006,2025-02-27,SUP030,STR026,PRD01001,373,373,178.37,2025-03-08,2025-03-06,Completed
PO2025000007,2025-11-13,SUP044,STR024,PRD00449,308,308,199.14,2025-11-29,2025-11-29,Completed
PO2025000008,2025-06-20,SUP003,STR032,PRD00647,306,306,189.07,2025-07-09,2025-07-10,Completed
PO2025000009,2025-03-27,SUP010,STR025,PRD00096,174,174,1154.69,2025-04-03,2025-04-04,Completed
PO2025000010,2025-06-16,SUP051,STR028,PRD00040,72,72,17487.01,2025-06-20,2025-06-18,Completed
PO2025000011,2025-12-11,SUP007,STR036,PRD00918,158,158,1987.44,2026-01-01,2026-01-08,Delayed
PO2025000012,2025-06-01,SUP013,STR033,PRD00110,51,51,18492.65,2025-06-11,2025-06-10,Completed
PO2025000013,2025-12-14,SUP030,STR027,PRD00045,66,0,13822.18,2025-12-23,,In-Transit
PO2025000014,2025-03-16,SUP022,STR041,PRD00272,208,208,344.72,2025-03-28,2025-04-06,Delayed
PO2025000015,2025-03-21,SUP034,STR022,PRD00746,177,177,1526.01,2025-04-03,2025-04-04,Completed
PO2025000016,2025-11-03,SUP012,STR022,PRD00185,117,117,1500.04,2025-11-14,2025-11-14,Completed
PO2025000017,2025-03-29,SUP035,STR026,PRD00144,66,66,4964.07,2025-04-18,2025-04-17,Completed
PO2025000018,2025-04-15,SUP032,STR033,PRD00351,107,107,503.24,2025-04-25,2025-04-26,Completed
PO2025000019,2025-12-07,SUP031,STR004,PRD00950,180,180,127.31,2025-12-14,2025-12-12,Completed
PO2025000020,2025-11-13,SUP045,STR030,PRD00798,87,87,961.55,2025-11-21,2025-11-21,Completed
PO2025000021,2025-03-01,SUP052,STR018,PRD00736,112,112,1241.55,2025-03-08,2025-03-08,Completed
PO2025000022,2025-05-06,SUP010,STR024,PRD00518,85,85,768.43,2025-05-13,2025-05-13,Completed
