SaleID,SaleDate,StoreID,ProductID,Quantity,UnitPrice,Discount,Revenue,Cost,PaymentMethod,CustomerSegment
SAL20250000001,2025-01-24,STR038,PRD00311,1,936.08,0.1,842.47,578.34,Debit Card,Regular
SAL20250000002,2025-01-04,STR034,PRD00643,2,345.09,0.0,690.18,435.2,Credit Card,Regular
SAL20250000003,2025-01-15,STR020,PRD00256,1,13048.37,0.0,13048.37,8107.05,UPI,Premium
SAL20250000004,2025-01-25,STR022,PRD00563,5,667.75,0.1,3004.88,2167.8,UPI,Walk-in
SAL20250000005,2025-01-19,STR011,PRD01006,3,849.47,0.0,2548.41,1820.07,UPI,Corporate
SAL20250000006,2025-01-20,STR039,PRD00748,1,2656.98,0.0,2656.98,1815.38,Credit Card,Walk-in
SAL20250000007,2025-01-14,STR027,PRD00117,1,5653.79,0.0,5653.79,4053.02,UPI,Walk-in
SAL20250000008,2025-01-09,STR017,PRD01049,1,225.77,0.0,225.77,137.88,UPI,Regular
SAL20250000009,2025-01-01,STR007,PRD01003,1,278.9,0.0,278.9,146.32,Credit Card,Walk-in
SAL20250000010,2025-01-04,STR032,PRD01157,2,8076.82,0.0,16153.64,8530.82,Credit Card,Premium
SAL20250000011,2025-01-22,STR025,PRD00087,1,23253.22,0.0,23253.22,15702.94,Debit Card,Corporate
SAL20250000012,2025-01-19,STR007,PRD00241,2,7381.55,0.0,14763.1,11167.88,Credit Card,Walk-in
SAL20250000013,2025-01-20,STR027,PRD00814,2,3265.17,0.1,5877.31,3778.74,Cash,Walk-in
SAL20250000014,2025-01-17,STR003,PRD00824,2,3034.92,0.0,6069.84,4333.06,Debit Card,Walk-in
SAL20250000015,2025-01-01,STR014,PRD01170,1,1269.68,0.0,1269.68,694.9,UPI,Regular
SAL20250000016,2025-01-14,STR002,PRD00944,4,197.23,0.0,788.92,511.28,Debit Card,Regular
SAL20250000017,2025-01-31,STR016,PRD00572,2,728.84,0.1,1311.91,937.68,Credit Card,Walk-in
SAL20250000018,2025-01-25,STR011,PRD00432,2,845.55,0.0,1691.1,1294.08,Credit Card,Walk-in
SAL20250000019,2025-01-25,STR023,PRD00355,2,304.11,0.0,608.22,327.6,UPI,Walk-in
SAL20250000020,2025-01-24,STR015,PRD00654,4,474.17,0.05,1801.85,1297.56,Credit Card,Regular
SAL20250000021,2025-01-16,STR041,PRD00384,2,1012.08,0.0,2024.16,1027.28,Cash,Walk-in
SAL20250000022,2025-01-11,STR029,PRD00746,2,2299.94,0.0,4599.88,3052.02,UPI,Regular
SAL20250000023,2025-01-19,STR020,PRD01045,3,910.12,0.0,2730.36,1413.72,Debit Card,Walk-in
SAL20250000024,2025-01-13,STR040,PRD00156,1,1591.76,0.1,1432.58,1231.95,Cash,Regular
SAL20250000025,2025-01-11,STR035,PRD00730,1,3497.66,0.0,3497.66,2580.93,UPI,Corporate
SAL20250000026,2025-01-27,STR019,PRD01176,4,5880.6,0.0,23522.4,14077.32,UPI,Premium
SAL20250000027,2025-01-08,STR036,PRD00318,2,184.33,0.0,368.66,237.54,Credit Card,Premium
SAL20250000028,2025-01-08,STR016,PRD00466,2,725.28,0.0,1450.56,1259.44,UPI,Regular
SAL20250000029,2025-01-31,STR002,PRD00998,4,883.36,0.0,3533.44,1799.56,Credit Card,Walk-in
SAL20250000030,2025-01-14,STR012,PRD01071,1,5607.68,0.0,5607.68,3412.0,Cash,Corporate
SAL20250000031,2025-01-24,STR017,PRD00751,2,3034.29,0.0,6068.58,3880.72,UPI,Premium
SAL20250000032,2025-01-30,STR016,PRD00661,2,443.39,0.05,842.44,567.36,UPI,Premium
SAL20250000033,2025-01-23,STR016,PRD01111,1,1735.9,0.1,1562.31,955.52,Credit Card,Regular
SAL20250000034,2025-01-27,STR039,PRD00470,3,416.77,0.0,1250.31,975.33,Credit Card,Walk-in
SAL20250000035,2025-01-08,STR030,PRD00557,2,210.61,0.1,379.1,268.86,Credit Card,Regular
SAL20250000036,2025-01-31,STR011,PRD00046,1,12754.14,0.0,12754.14,8397.4,UPI,Regular
SAL20250000037,2025-01-28,STR010,PRD00131,1,11948.61,0.1,10753.75,9032.43,Credit Card,Premium
SAL20250000038,2025-01-24,STR002,PRD01014,2,1123.09,0.0,2246.18,1272.16,UPI,Regular
SAL20250000039,2025-01-22,STR029,PRD00640,2,209.4,0.0,418.8,234.86,UPI,Walk-in
SAL20250000040,2025-01-29,STR033,PRD00841,1,1965.17,0.0,1965.17,1338.26,Credit Card,Regular
SAL20250000041,2025-01-01,STR040,PRD00109,1,12280.41,0.0,12280.41,9316.5,UPI,Corporate
SAL20250000042,2025-01-20,STR005,PRD01093,1,4476.19,0.05,4252.38,2887.02,UPI,Walk-in
SAL20250000043,2025-01-25,STR012,PRD00374,1,1242.75,0.0,1242.75,738.33,Debit Card,Regular
SAL20250000044,2025-01-04,STR026,PRD01184,2,6927.53,0.0,13855.06,6365.4,Debit Card,Regular
SAL20250000045,2025-01-16,STR009,PRD00709,1,232.93,0.0,232.93,153.05,UPI,Regular
SAL20250000046,2025-01-09,STR032,PRD00186,1,7826.08,0.0,7826.08,5124.89,UPI,Corporate
SAL20250000047,2025-01-21,STR006,PRD00701,1,4774.16,0.1,4296.74,3063.26,UPI,Walk-in
SAL20250000048,2025-01-18,STR004,PRD00770,1,1474.46,0.05,1400.74,1090.39,UPI,Regular
SAL20250000049,2025-01-01,STR037,PRD01162,1,3657.07,0.05,3474.22,2017.29,UPI,Walk-in
SAL20250000050,2025-01-06,STR035,PRD00451,6,641.37,0.05,3655.81,3031.38,Credit Card,Walk-in
SAL20250000051,2025-01-29,STR029,PRD00366,1,994.61,0.0,994.61,474.73,UPI,Walk-in
SAL20250000052,2025-01-30,STR035,PRD00247,1,8119.57,0.0,8119.57,4992.42,UPI,Regular
SAL20250000053,2025-01-06,STR038,PRD01070,1,5540.5,0.05,5263.47,2576.77,Credit Card,Corporate
SAL20250000054,2025-01-30,STR022,PRD00940,5,57.11,0.0,285.55,194.3,UPI,Regular
SAL20250000055,2025-01-04,STR036,PRD00135,1,9390.96,0.0,9390.96,6866.63,UPI,Premium
SAL20250000056,2025-01-07,STR026,PRD00086,1,22194.93,0.0,22194.93,15176.58,Cash,Premium
SAL20250000057,2025-01-30,STR038,PRD00203,1,6533.34,0.1,5880.01,4260.88,Cash,Walk-in
SAL20250000058,2025-01-23,STR035,PRD01077,1,8389.04,0.0,8389.04,3493.39,UPI,Regular
SAL20250000059,2025-01-15,STR013,PRD00605,5,66.61,0.0,333.05,245.25,UPI,Regular
SAL20250000060,2025-01-01,STR032,PRD00214,1,9551.75,0.0,9551.75,6869.66,UPI,Walk-in
SAL20250000061,2025-01-26,STR019,PRD00113,1,16350.49,0.05,15532.97,11876.29,UPI,Walk-in
SAL20250000062,2025-01-29,STR037,PRD01120,1,8969.51,0.0,8969.51,4399.96,UPI,Regular
SAL20250000063,2025-01-31,STR020,PRD00794,1,5386.59,0.0,5386.59,3160.43,UPI,Premium
SAL20250000064,2025-01-28,STR028,PRD01050,2,562.12,0.1,1011.82,658.28,Credit Card,Regular
SAL20250000065,2025-01-07,STR007,PRD00945,5,871.49,0.0,4357.45,2751.2,Debit Card,Regular
SAL20250000066,2025-01-07,STR032,PRD00427,2,558.44,0.0,1116.88,968.52,UPI,Regular
SAL20250000067,2025-01-29,STR008,PRD00600,1,709.55,0.0,709.55,469.16,Debit Card,Premium
SAL20250000068,2025-01-06,STR025,PRD00471,1,607.66,0.0,607.66,495.35,UPI,Regular
SAL20250000069,2025-01-08,STR040,PRD00534,4,97.09,0.0,388.36,322.36,Credit Card,Premium
SAL20250000070,2025-01-21,STR020,PRD00423,5,256.23,0.0,1281.15,1069.5,Cash,Regular
SAL20250000071,2025-01-01,STR027,PRD00855,1,2084.62,0.0,2084.62,1525.55,UPI,Walk-in
SAL20250000072,2025-01-09,STR039,PRD00022,1,22149.39,0.0,22149.39,16337.37,Credit Card,Regular
SAL20250000073,2025-01-22,STR015,PRD00145,1,2570.9,0.1,2313.81,1687.81,UPI,Walk-in
SAL20250000074,2025-01-06,STR017,PRD00823,1,2558.98,0.0,2558.98,1717.69,Cash,Regular
SAL20250000075,2025-01-25,STR008,PRD00816,2,1448.92,0.0,2897.84,1714.78,Net Banking,Walk-in
SAL20250000076,2025-01-16,STR013,PRD00261,1,8333.44,0.1,7500.1,5118.51,UPI,Regular
SAL20250000077,2025-01-27,STR025,PRD00380,1,304.64,0.0,304.64,210.5,UPI,Regular
SAL20250000078,2025-01-12,STR029,PRD00293,1,859.61,0.0,859.61,442.5,Credit Card,Walk-in
SAL20250000079,2025-01-07,STR014,PRD00657,1,272.71,0.05,259.07,160.84,UPI,Corporate
SAL20250000080,2025-01-30,STR012,PRD00723,1,1757.3,0.0,1757.3,1097.96,UPI,Regular
SAL20250000081,2025-01-31,STR019,PRD01044,1,762.23,0.05,724.12,544.48,UPI,Walk-in
SAL20250000082,2025-01-01,STR029,PRD00143,1,11610.06,0.0,11610.06,8058.06,UPI,Regular
SAL20250000083,2025-01-18,STR021,PRD00117,1,5653.79,0.05,5371.1,4053.02,Credit Card,Regular
SAL20250000084,2025-01-30,STR021,PRD00764,1,3332.71,0.0,3332.71,1836.11,Credit Card,Regular
SAL20250000085,2025-01-01,STR037,PRD00120,1,22170.49,0.0,22170.49,16305.22,UPI,Regular
SAL20250000086,2025-01-21,STR003,PRD01163,1,6199.15,0.1,5579.23,3716.06,Cash,Walk-in
SAL20250000087,2025-01-10,STR040,PRD00798,1,1720.26,0.0,1720.26,961.55,Credit Card,Walk-in
SAL20250000088,2025-01-12,STR041,PRD00940,2,57.11,0.0,114.22,77.72,Credit Card,Premium
SAL20250000089,2025-01-08,STR010,PRD00593,2,596.07,0.1,1072.93,771.68,Net Banking,Premium
SAL20250000090,2025-01-12,STR002,PRD00893,2,963.04,0.1,1733.47,1206.1,UPI,Premium
SAL20250000091,2025-01-28,STR015,PRD00831,1,2902.42,0.0,2902.42,1993.17,UPI,Regular
SAL20250000092,2025-01-29,STR027,PRD00952,3,892.13,0.0,2676.39,1508.13,UPI,Regular
SAL20250000093,2025-01-11,STR026,PRD00273,2,1306.29,0.0,2612.58,1517.74,UPI,Regular
SAL20250000094,2025-01-07,STR040,PRD00750,3,3884.81,0.0,11654.43,6434.94,Debit Card,Regular
SAL20250000095,2025-01-21,STR020,PRD00441,1,853.01,0.0,853.01,707.08,Credit Card,Walk-in
SAL20250000096,2025-01-29,STR040,PRD00852,1,1751.61,0.0,1751.61,1214.84,Credit Card,Regular
SAL20250000097,2025-01-13,STR034,PRD00893,1,963.04,0.0,963.04,603.05,Credit Card,Regular
SAL20250000098,2025-01-22,STR012,PRD00565,10,107.78,0.0,1077.8,614.8,Debit Card,Walk-in
SAL20250000099,2025-01-19,STR013,PRD00309,1,1344.75,0.0,1344.75,637.15,Cash,Regular
SAL20250000100,2025-01-30,STR032,PRD00653,2,614.39,0.0,1228.78,895.52,Credit Card,Walk-in
SAL20250000101,2025-01-02,STR007,PRD00134,1,19404.79,0.05,18434.55,14953.78,UPI,Regular
SAL20250000102,2025-01-30,STR023,PRD00419,3,950.16,0.0,2850.48,2291.76,UPI,Regular
SAL20250000103,2025-01-20,STR021,PRD00923,1,3811.45,0.0,3811.45,2262.33,UPI,Regular
SAL20250000104,2025-01-18,STR011,PRD00312,1,662.59,0.1,596.33,388.19,UPI,Walk-in
SAL20250000105,2025-01-16,STR018,PRD00516,6,653.26,0.0,3919.56,3015.36,UPI,Regular
SAL20250000106,2025-01-25,STR003,PRD00278,3,439.84,0.0,1319.52,876.21,Credit Card,Walk-in
SAL20250000107,2025-01-19,STR024,PRD00912,1,532.47,0.05,505.85,306.3,Net Banking,Premium
SAL20250000108,2025-01-19,STR023,PRD00701,4,4774.16,0.0,19096.64,12253.04,UPI,Regular
SAL20250000109,2025-01-10,STR026,PRD00307,1,743.28,0.0,743.28,482.82,Net Banking,Regular
SAL20250000110,2025-01-21,STR021,PRD00604,3,254.69,0.0,764.07,455.7,UPI,Walk-in
SAL20250000111,2025-01-26,STR032,PRD00033,1,2653.86,0.0,2653.86,1783.28,Net Banking,Regular
SAL20250000112,2025-01-09,STR013,PRD01060,1,277.54,0.0,277.54,198.35,Cash,Walk-in
SAL20250000113,2025-01-29,STR011,PRD00107,1,4985.79,0.0,4985.79,3483.71,UPI,Corporate
SAL20250000114,2025-01-11,STR003,PRD00564,3,566.41,0.0,1699.23,1043.91,Credit Card,Regular
SAL20250000115,2025-01-18,STR003,PRD00268,3,1061.68,0.0,3185.04,1560.78,UPI,Walk-in
SAL20250000116,2025-01-10,STR025,PRD00412,5,576.41,0.0,2882.05,2273.75,UPI,Walk-in
SAL20250000117,2025-01-23,STR025,PRD00693,1,2512.22,0.0,2512.22,1671.42,Net Banking,Regular
SAL20250000118,2025-01-23,STR022,PRD00272,3,610.52,0.0,1831.56,1034.16,Credit Card,Walk-in
SAL20250000119,2025-01-09,STR006,PRD00930,3,4102.13,0.1,11075.75,7096.02,Cash,Premium
SAL20250000120,2025-01-01,STR009,PRD00220,1,5859.46,0.05,5566.49,4561.44,UPI,Premium
SAL20250000121,2025-01-25,STR006,PRD00155,1,2214.51,0.1,1993.06,1652.19,Cash,Walk-in
SAL20250000122,2025-01-05,STR038,PRD00952,2,892.13,0.0,1784.26,1005.42,Credit Card,Walk-in
SAL20250000123,2025-01-02,STR009,PRD00412,5,576.41,0.0,2882.05,2273.75,UPI,Walk-in
SAL20250000124,2025-01-03,STR001,PRD00895,2,472.54,0.0,945.08,594.8,UPI,Regular
SAL20250000125,2025-01-11,STR041,PRD01093,1,4476.19,0.0,4476.19,2887.02,Debit Card,Walk-in
SAL20250000126,2025-01-23,STR012,PRD00969,1,147.34,0.0,147.34,76.24,Cash,Regular
SAL20250000127,2025-01-06,STR033,PRD00013,1,17378.5,0.0,17378.5,12862.09,UPI,Premium
SAL20250000128,2025-01-19,STR013,PRD00254,1,11020.14,0.05,10469.13,6776.21,Debit Card,Walk-in
SAL20250000129,2025-01-08,STR011,PRD00816,2,1448.92,0.0,2897.84,1714.78,Credit Card,Walk-in
SAL20250000130,2025-01-10,STR014,PRD00882,1,3706.7,0.0,3706.7,2187.93,UPI,Regular
SAL20250000131,2025-01-29,STR017,PRD00582,3,535.32,0.05,1525.66,1155.0,Credit Card,Premium
SAL20250000132,2025-01-02,STR040,PRD00889,1,2052.09,0.0,2052.09,1474.15,Debit Card,Regular
SAL20250000133,2025-01-24,STR006,PRD00658,2,338.62,0.0,677.24,455.36,UPI,Walk-in
SAL20250000134,2025-01-22,STR005,PRD01174,1,4967.43,0.0,4967.43,2664.97,Credit Card,Walk-in
SAL20250000135,2025-01-16,STR024,PRD01032,1,117.65,0.0,117.65,70.2,Credit Card,Walk-in
SAL20250000136,2025-01-08,STR038,PRD00352,1,930.67,0.0,930.67,596.9,Credit Card,Walk-in
SAL20250000137,2025-01-30,STR026,PRD00958,4,274.5,0.0,1098.0,766.92,UPI,Walk-in
SAL20250000138,2025-01-13,STR027,PRD00051,2,18906.15,0.0,37812.3,27624.36,UPI,Premium
SAL20250000139,2025-01-05,STR026,PRD00754,1,372.52,0.0,372.52,220.88,Credit Card,Regular
SAL20250000140,2025-01-19,STR012,PRD00448,1,612.68,0.0,612.68,518.56,UPI,Regular
SAL20250000141,2025-01-01,STR032,PRD00811,1,243.22,0.0,243.22,140.95,Cash,Regular
SAL20250000142,2025-01-07,STR032,PRD01031,2,1036.47,0.0,2072.94,1046.74,UPI,Corporate
SAL20250000143,2025-01-02,STR023,PRD00218,1,7357.64,0.0,7357.64,5051.02,Credit Card,Regular
SAL20250000144,2025-01-08,STR034,PRD01021,4,582.28,0.0,2329.12,1512.48,UPI,Regular
SAL20250000145,2025-01-06,STR022,PRD00642,3,467.68,0.0,1403.04,870.66,UPI,Regular
SAL20250000146,2025-01-10,STR022,PRD00770,2,1474.46,0.0,2948.92,2180.78,UPI,Corporate
SAL20250000147,2025-01-03,STR002,PRD00924,1,261.16,0.0,261.16,194.5,Cash,Walk-in
SAL20250000148,2025-01-30,STR021,PRD00984,3,34.1,0.0,102.3,60.06,Credit Card,Regular
SAL20250000149,2025-01-07,STR009,PRD00665,3,157.57,0.0,472.71,309.42,Cash,Walk-in
SAL20250000150,2025-01-20,STR016,PRD00516,2,653.26,0.0,1306.52,1005.12,UPI,Walk-in
